From,To,length(in meters)
22079,22069,1.461
22756,22856,11.886
22927,22856,6.686
22702,22715,3.413
22736,22728,2.466
22715,22728,3.169
22744,22755,2.68
22775,22800,1.953
22632,22646,2.235
22678,22662,3.575
22646,22662,2.745
22604,22616,2.322
22632,22616,1.758
22818,22806,1.467
22800,22806,1.361
22755,22766,1.358
22775,22766,1.635
23166,23080,3.77
22875,23080,16.88
23161,23152,6.988
23271,23162,6.484
23518,23543,6.512
23541,23543,7.248
23555,23539,3.813
23541,23539,7.257
23389,23390,6.408
23271,23273,4.175
24114,23618,100.109
23541,23618,2.613
23566,23589,56.605
23591,23589,8.36
23606,23593,32.218
23591,23593,8.62
23591,23637,2.881
23872,23637,47.451
22968,23132,10.526
23195,23132,2.226
20587,20592,26.392
20414,20416,11.734
20522,20526,27.117
20592,20524,6.283
20461,20524,8.096
20526,20524,2.841
20523,20524,2.716
20461,20450,2.307
20414,20450,6.259
20407,20450,8.031
20600,20532,6.094
20533,20532,6.987
20964,20768,22.409
20673,20671,7.065
20651,20671,1.345
20768,20671,10.476
20651,20649,11.954
20600,20599,1.421
19443,20514,81.829
20533,20514,1.779
20591,20593,104.376
20595,20593,2.639
18911,18920,2.262
18932,18920,2.686
18995,19014,2.938
19045,19033,1.846
19014,19033,2.511
19045,19061,2.342
19083,19061,1.836
18872,18781,5.387
18512,18562,2.23
18586,18562,1.831
18078,18038,8.014
18036,18038,20.643
18669,18727,2.807
18781,18727,3.388
18629,18588,4.449
17976,18040,6.195
18588,18211,20.883
18040,18211,14.629
19605,19603,6.475
19299,19390,6.901
19429,19390,3.618
19588,19487,9.189
19390,19487,14.364
17982,18062,11.07
17648,17678,3.524
17764,17711,4.693
17678,17711,4.458
17764,17765,1.353
17768,17765,34.2
17768,17358,33.224
17648,17623,3.305
17588,17623,3.334
17588,17554,3.223
17484,17520,3.097
17554,17520,2.374
17401,17421,4.529
17484,17449,2.874
17421,17449,3.025
17369,17346,3.532
17127,17327,20.126
17346,17327,4.752
17323,17337,6.463
17227,17236,48.987
17233,17236,5.646
17579,17236,21.583
17372,17430,4.363
17878,17430,38.007
17337,17688,26.4
17688,17706,3.785
17358,17324,1.391
17327,17324,3.626
17323,17324,1.518
15399,15669,38.205
15756,15669,4.105
15756,16050,38.518
16093,15994,15.074
16050,15994,4.275
16206,16010,17.534
15769,16010,17.222
16529,16610,5.482
16874,16610,24.952
15716,16527,59.234
16529,16527,6.668
16952,16527,35.572
16461,16471,3.336
16471,16466,10.119
16466,16453,3.778
16453,16447,14.006
16447,16476,6.175
16206,16468,22.984
16529,16468,6.072
16476,16468,24.462
16788,16656,12.448
16656,16616,2.848
16535,16549,2.863
16568,16549,2.276
16568,16597,2.306
16616,16597,2.322
16788,16851,6.609
17127,17153,2.378
17153,17189,3.148
17233,17216,2.466
17189,17216,2.205
17127,16976,8.428
16851,16976,9.881
21945,21930,11.408
22307,21930,42.065
18304,18337,1.35
18337,18385,1.63
18385,18414,1.505
18414,18434,1.194
18434,18447,1.29
18447,18471,1.488
18471,18493,1.633
18493,18540,1.627
18540,18575,1.9
18575,18601,1.834
18716,18723,24.344
18601,18642,1.691
18723,18642,3.17
18716,18638,9.373
18588,18638,6.39
18450,18638,12.274
18743,18551,12.657
18527,18551,1.782
17465,17668,16.46
17873,18021,14.009
18199,18021,13.965
18735,18734,3.663
18134,18467,30.779
18467,18503,2.965
18503,18526,1.933
18526,18548,3.716
18548,18556,1.872
17637,17707,17.011
17707,17728,3.152
17728,17748,2.343
17748,17770,2.078
17770,17804,2.674
17804,17830,2.248
17830,18012,17.59
18556,18313,11.716
18916,18904,13.632
18909,18904,9.984
18012,18190,13.757
18313,18190,8.961
18736,18737,6.707
18734,18737,3.315
18556,18737,8.089
18904,18737,8.589
20657,20655,13.384
20655,20794,14.144
20964,20959,4.098
21328,21326,13.587
21960,21028,59.88
20700,21028,35.527
21028,21029,8.388
20655,20653,63.596
20768,20702,10.957
20649,20702,3.848
20808,20761,5.471
20592,20597,56.687
20599,20597,14.466
20649,20650,6.378
20653,20652,3.508
20597,20652,7.621
20764,20652,14.107
20650,20652,2.59
20761,20733,3.267
20702,20717,2.426
20733,20717,2.429
21292,21293,4.542
21328,21804,26.509
21930,21804,12.965
21292,21325,2.217
21326,21325,13.133
21928,21929,14.457
21930,21929,14.128
21292,21823,29.679
21928,21823,11.475
21822,21823,2.686
21328,21618,18.732
21804,21618,19.204
21325,21618,18.627
21929,21799,18.319
21823,21799,2.606
21618,21799,18.549
20947,21331,22.395
21789,21331,25.276
21329,21331,9.064
22323,22321,42.239
22320,22321,31.822
22792,22757,3.303
22749,22802,6.184
23170,23047,5.66
23046,23047,2.706
22897,23027,11.965
23027,23022,20.11
22321,22602,43.678
22749,22602,22.784
22602,22603,6.513
22791,22773,1.88
22749,22773,7.71
22994,22773,23.186
22323,22839,77.759
22839,22838,22.68
23046,23034,46.602
23027,23034,24.519
22994,23034,2.291
22802,22871,16.111
23046,22871,29.748
22994,22871,24.416
22838,22871,6.279
22603,22682,12.422
22773,22682,13.956
22682,22683,3.411
22839,22865,3.218
23047,23002,2.772
22865,23002,13.9
22450,22304,19.848
22323,22322,4.339
22338,22315,2.413
22304,22315,8.847
22322,22315,5.01
21979,22233,25.064
22304,22233,9.407
21960,22169,23.851
22323,22169,16.057
21973,22200,24.496
22315,22200,13.032
22233,22200,8.818
22169,22200,9.519
22763,22771,1.81
22741,22748,2.104
22763,22748,1.637
22797,22801,1.346
22808,22801,1.695
22817,22816,1.458
22808,22814,1.201
22816,22814,1.507
22797,22782,1.16
22771,22782,1.206
23179,23174,25.898
22982,23174,24.843
23163,23174,22.402
22883,22921,4.052
23008,22964,4.924
22921,22964,4.096
22769,22777,2.143
22788,22777,3.332
22762,22641,19.104
22596,22601,2.367
22641,22601,5.082
22584,22601,5.349
22596,22595,2.557
22601,22612,3.103
22659,22643,3.078
22612,22643,3.341
22607,22599,2.925
22595,22599,3.52
22577,22340,53.036
17463,17600,21.15
17817,17600,47.314
17668,17600,27.365
17422,17440,1.57
17463,17440,1.033
18735,18289,20.885
18199,18289,7.117
18723,18729,39.023
18616,18729,4.362
18616,18566,3.283
18566,18520,2.023
18520,18482,1.48
18482,18457,1.424
18413,18440,1.974
18457,18440,1.685
18735,18732,4.358
18460,18480,1.976
22208,22509,36.906
22559,22509,13.189
21997,22039,5.693
22199,22039,17.068
22039,22157,16.911
22199,22202,9.944
22203,22202,1.266
22157,22202,3.425
22509,22512,5.083
22326,22407,9.566
22341,22407,13.931
22535,22407,22.531
21988,22244,27.099
22341,22244,11.676
22245,22244,4.813
22244,22299,7.443
22299,22537,33.504
22567,22565,0.889
22564,22565,1.295
22537,22565,4.916
22574,22565,2.28
22859,22621,32.803
22574,22621,9.73
22563,22623,12.065
22621,22622,3.257
22623,22622,3.257
22623,22624,2.184
22861,22738,15.846
22623,22738,17.036
22739,22738,2.039
22888,22903,1.361
22917,22903,1.288
22924,22938,1.208
22941,22938,1.134
22945,22944,1.392
22941,22944,1.139
19057,19043,35.815
19037,19043,16.322
18909,19043,8.056
18236,18238,2.909
18582,18238,23.014
18796,18797,4.136
18582,18256,19.085
18801,18800,5.924
18797,18800,18.274
18790,18443,23.568
18796,18558,12.733
18790,18478,22.896
18558,18478,4.202
18288,18328,1.862
18256,18286,5.623
18328,18286,3.863
18286,18383,3.928
18383,18525,8.851
18577,18525,2.842
18582,18633,5.641
18797,18633,16.248
18800,18633,8.301
18577,18633,3.392
18478,18431,7.448
18402,18431,1.876
18328,18431,9.195
17577,17972,42.68
18256,17972,25.866
18020,17972,10.425
18790,18769,26.202
18764,18769,5.068
18443,18620,13.101
18769,18620,6.418
18443,18175,23.665
18478,18164,21.808
18145,18164,3.122
18175,18118,7.103
18164,18118,4.02
17637,17617,6.008
18118,17820,29.23
17617,17820,22.867
17844,17820,4.908
22286,22290,33.523
22293,22290,7.779
22293,22292,7.789
22281,22280,8.939
22282,22280,3.73
22292,22291,11.818
22496,22514,3.292
22584,22514,14.256
22496,22495,5.239
22493,22495,2.358
22644,22521,23.738
22520,22521,2.679
22772,22835,10.78
23177,23015,7.253
23013,23015,26.043
22772,22863,12.015
23013,22863,15.039
22835,22905,7.896
22905,22952,4.966
23015,22978,3.391
22952,22978,3.627
22892,22764,16.167
22730,22765,6.124
22764,22765,2.562
22765,22779,3.738
22844,22810,4.381
22779,22810,3.782
23003,22915,9.45
22844,22915,7.04
22501,22827,54.547
22778,22692,13.521
22580,22692,19.326
22693,22692,7.634
22579,22578,29.087
22577,22578,3.218
22625,22578,9.007
22778,22776,29.823
22751,22776,3.803
22772,22774,2.542
22776,22774,35.901
22579,22581,6.746
22583,22581,2.764
22691,22690,1.063
22774,22754,2.902
22690,22735,6.172
22754,22735,4.048
22581,22609,7.717
22690,22647,6.961
22609,22647,4.403
22778,22983,32.483
23015,23010,26.488
22983,23010,3.047
23160,23157,10.707
23156,23157,4.619
23010,23157,7.016
23168,23025,6.794
23151,23018,6.607
23010,23018,16.604
22985,22992,2.965
23025,22992,3.053
22778,23020,24.318
23018,23020,8.262
21173,21278,3.503
20726,20730,3.086
20478,20446,3.102
20375,20446,8.006
19615,19561,5.05
20860,20920,6.087
20988,20971,2.693
20922,20932,2.302
20937,20932,1.747
20920,20932,1.562
20971,20932,3.001
20806,20769,5.354
20726,20769,4.408
20853,20880,3.519
20922,20880,4.016
21075,21073,4.039
21420,21537,4.214
21963,21537,35.394
20846,20908,6.516
20991,20908,6.516
21300,21299,5.528
21287,21299,72.268
22585,22586,2.667
22552,22586,8.265
22552,22505,10.319
22459,22505,3.97
21949,22502,63.826
22780,22502,48.77
22501,22502,12.282
22285,22313,3.392
22340,22313,3.114
21046,21320,13.633
21849,21535,21.323
21320,21535,9.706
20852,20807,7.188
20769,20807,4.932
20852,20879,3.455
20879,20926,4.431
20988,20951,2.299
20926,20951,2.959
21046,21017,3.25
20988,21017,2.523
23070,23014,12.567
23003,23014,11.748
22936,22933,7.345
22933,22823,10.119
22928,22925,13.722
22933,22925,40.704
22825,22925,9.697
23070,23076,34.47
23072,23076,41.93
23052,23063,1.992
23069,23063,2.051
22995,23024,2.105
23052,23024,2.029
22995,22984,1.806
22967,22984,1.802
22928,22926,5.18
22926,22923,1.158
22827,22877,5.093
22894,22877,1.511
23072,23071,1.305
23069,23071,1.382
23071,22960,8.819
22780,22959,18.058
22967,22959,1.09
22960,22959,8.678
22894,22906,1.055
22914,22906,1
22923,22919,1.15
22914,22919,0.817
22914,22954,4.93
22960,22954,0.824
22501,22503,15.008
22505,22503,8.456
22515,22503,2.447
22688,22687,36.566
22667,22668,13.085
22687,22668,3.036
22650,22652,5.209
22668,22652,3.169
22571,22587,3.457
22586,22587,1.991
20730,20729,16.216
20476,19574,67.585
19341,19574,17.015
19615,19580,8.426
19574,19580,106.291
19756,19791,2.999
19799,19791,5.603
19799,20474,51.539
20482,20475,2.525
20474,20475,6.717
20172,20175,9.306
20188,20175,64.266
20385,20376,64.77
20375,20376,9.268
19855,19838,64.402
19835,19838,8.785
19341,19335,16.294
19335,19415,5.816
20465,20470,15.917
20476,20470,34.83
20374,20470,11.019
19402,19520,11.667
19854,19520,23.954
19882,19883,38.21
19400,19883,33.047
19883,20267,25.008
20591,20466,13.966
20469,20466,6.427
20467,20466,6.987
20267,20466,21.783
20272,20266,19.106
20267,20264,17.259
20469,20326,21.758
19995,20209,16.501
20468,20322,27.389
19883,20206,27.794
20266,20304,2.176
20322,20304,2.166
20322,20329,1.78
20329,20337,1.786
20337,20340,1.782
20326,20336,1.783
20340,20336,1.782
20326,20316,1.97
20264,20295,1.962
20316,20295,1.966
20264,20243,1.857
20206,20223,1.84
20243,20223,1.845
20206,20195,1.862
20195,20189,1.863
20189,20190,1.865
20209,20196,1.863
20190,20196,1.863
20209,20225,1.809
20266,20244,1.81
20225,20244,1.81
18982,19452,34.93
19561,19452,6.528
19580,19452,11.411
19756,19701,4.014
19615,19660,3.219
19701,19660,3.628
13560,13617,9.499
13220,13269,3.932
13370,13269,16.029
13269,13351,6.743
13005,13319,15.923
13370,13319,4.499
12976,13007,10.765
13008,13031,64.162
13007,13031,11.263
13008,13029,3.238
13029,13072,2.666
13228,13173,2.675
13137,13173,2.406
13137,13094,1.612
13072,13094,1.656
13019,13014,7.867
13036,13014,44.776
13310,13273,3.136
13220,13273,3.152
13005,12984,2.723
12976,12984,4.63
13220,13141,3.89
13022,13141,3.896
13492,13433,6.56
13351,13433,7.058
13629,13589,8.056
13534,13589,8.278
15455,15413,3.313
13310,13363,4.448
13645,13363,35.405
13682,13649,3.829
13617,13649,4.545
13778,13733,6.209
13682,13733,5.59
14545,14506,2.726
14731,14473,14.998
14506,14473,69.134
13887,14148,13.502
14506,14148,17.831
13854,14080,11.983
14473,14080,18.748
14148,14080,68.987
14735,14713,11.237
14697,14713,8.713
14650,14676,4.818
14697,14676,5.775
14760,14753,7.039
14735,14753,9.93
14401,14416,4.5
14418,14416,5.512
14302,14345,4.74
14369,14345,5.328
14121,14214,4.225
14214,14322,4.18
14478,14407,4.793
14322,14407,3.607
14730,14671,3.997
15789,15723,3.097
15597,15653,3.572
15890,15842,3.023
16519,16492,2.913
16519,16570,2.939
16638,16570,5.011
16445,16473,1.988
16492,16473,2.523
15789,15811,1.538
15842,15811,1.656
15597,15535,4.783
15440,15492,4.695
15535,15492,3.965
15017,14919,6.615
14840,14919,5.586
14840,14747,8.665
14682,14747,7.279
14682,14603,7.858
14794,14828,2.226
14849,14845,1.884
14828,14845,1.465
14800,14777,2.584
14731,14762,2.053
14777,14762,2.008
13776,13786,2.482
13854,13810,2.718
13786,13810,2.577
13804,13821,2.506
13887,13845,2.203
13821,13845,2.203
14603,14581,2.948
14573,14619,2.64
14671,14619,2.387
13126,13123,6.011
13126,13209,3.87
13145,13195,10.687
13246,13195,7.584
13246,13286,8.502
13317,13286,7.708
18169,18179,4.604
18113,17921,16.958
13552,13140,35.049
13019,13140,3.27
13852,13928,5.877
14041,13928,6.622
14586,14577,6.812
14172,14246,7.67
14483,14246,11.259
14100,14246,7.931
14532,14528,4.592
14577,14528,6.753
13986,14059,4.292
14750,14634,7.664
14503,14634,8.351
14876,14855,1.545
14841,14848,1.002
14855,14848,0.971
14833,14837,1.991
14838,14837,2.33
14798,14818,1.81
14833,14818,1.903
14872,14912,3.603
14912,14954,3.276
14835,14789,5.404
14750,14764,3.925
14789,14764,4.064
14715,14744,5.918
14750,14744,5.39
14586,14620,6.971
14666,14620,6.777
14059,14376,14.269
14503,14447,4.021
14376,14447,4.152
14993,15043,2.937
14954,14979,28.54
14993,14979,13.419
15034,14979,3.158
16331,16352,3.569
13552,13557,9.411
13559,13557,7.891
13684,13760,9.219
13915,13760,11.535
13123,13120,10.496
19530,19535,1.632
19526,19510,1.589
20344,20343,5.306
20334,20343,45.03
19340,19339,3.885
19505,19503,8.678
19496,19503,22.239
19503,19450,3.236
19985,19966,2.112
20011,19991,9.882
19985,19991,2.054
19743,19959,12.301
19981,19959,2.105
19869,19816,2.5
19786,19816,1.98
19922,19946,1.752
19966,19946,1.607
19786,19695,6.586
19612,19695,6.019
19612,19540,6.44
19438,19540,6.283
19438,19369,7.001
19272,19369,7.945
19272,19156,7.764
19067,19156,7.891
19067,18967,8.928
18817,18967,8.682
18865,18875,2.689
18897,18875,2.375
18897,18922,1.627
18963,18922,1.981
18963,18999,1.768
19018,18999,2.01
19018,19041,1.702
19059,19041,2.04
18490,18574,8.988
18641,18574,10.576
19100,19183,7.431
19274,19183,6.58
19274,19355,7.47
19422,19355,6.413
19422,19507,6.313
19584,19507,5.97
19584,19662,6.269
19743,19662,5.808
18362,18409,2.419
18409,18437,3.833
18437,18508,11.147
18508,18608,12.35
18608,18684,7.137
18684,18721,5.619
18721,18755,6.697
18755,18768,5.517
18768,18777,2.971
18777,18783,1.981
18783,18808,1.712
18808,18829,1.808
18829,18847,1.678
18847,18870,1.661
18870,18899,1.847
18997,19017,2.246
19017,19049,2.492
19096,19101,0.954
19123,19128,0.89
19128,19133,0.84
19133,19143,0.826
19143,19166,0.946
19166,19176,0.836
19176,19199,1.394
19199,19230,2.627
19230,19261,2.26
19261,19284,2.351
19284,19303,2.203
19303,19323,2.054
19323,19361,2.971
19361,19388,2.749
19388,19420,3.301
19505,19457,2.837
19420,19457,3.75
19505,19557,3.499
19557,19595,3.118
19595,19621,2.859
19621,19667,3.184
19667,19716,3.247
19716,19797,5.392
19844,19907,2.449
19907,19993,5.704
20343,20145,15.034
19993,20145,9.32
18960,18957,9.732
18997,18957,1.555
18899,18924,1.384
18957,18924,1.444
19101,19113,0.718
19123,19113,0.744
19077,19088,0.645
19096,19088,0.663
19049,19060,1.252
19077,19060,0.878
19526,19533,1.539
19535,19533,1.396
19491,19500,1.442
19530,19515,1.386
19500,19515,1.348
19496,19499,1.495
19510,19499,1.263
19491,19492,1.672
19489,19492,2.601
19338,19350,2.033
19397,19380,1.938
19417,19405,1.455
19397,19405,1.342
19350,19370,2.598
19380,19370,2.319
19338,19334,2.047
19340,19334,12.013
19467,19473,10.447
19473,19476,4.256
19476,19483,2.191
19483,19498,1.855
19498,19524,2.208
19524,19543,1.929
19543,19553,1.586
19553,19569,1.647
19569,19604,2.646
19604,19627,2.038
19627,19675,2.991
19675,19674,8.91
19674,19634,13.306
20143,20133,7.262
20133,20144,6.595
20144,20159,3.983
20159,20187,3.845
20221,20154,4.869
20154,20083,4.707
20083,20041,3.21
20041,19999,3.075
19634,19798,10.72
19798,19796,6.668
20713,20661,4.715
20543,20615,7.145
20661,20615,3.97
20281,20306,1.97
20418,20306,14.73
21487,21475,24.538
21474,21475,1.092
21307,21475,7.439
17912,18030,12.067
18030,18257,17.69
18391,18327,19.843
18257,18327,5.208
17559,17631,6.727
17737,17631,12.1
19793,18568,78.239
18470,18569,5.707
18568,18569,6.417
19793,19794,8.34
19850,19795,3.714
19052,19795,52.773
19796,19795,3.952
19794,19795,4.387
19850,19846,11.577
19842,19846,11.174
19944,19846,4.59
19793,19846,3.879
19842,19982,7.465
19982,20112,8.918
20085,20193,26.712
20281,20193,6.933
20112,20193,3.829
20259,20302,4.154
20302,20338,5.268
20338,20366,4.777
20366,20406,4.457
20406,20444,6.027
20444,20486,4.842
20486,20509,4.756
20509,20553,4.745
20553,20626,7.331
20626,20686,4.928
20686,20745,6.303
20745,20788,4.674
20788,20828,6.203
20987,21057,6.805
21298,21309,83.957
21307,21309,7.789
21178,21309,4.688
21057,21120,3.223
21178,21120,4.248
20828,20888,7.606
20987,20888,8.273
20221,20240,2.641
20259,20240,2.598
20187,20204,3.425
20221,20204,3.215
19999,19973,2.012
19944,19973,1.952
20032,20046,2.262
20055,20051,2.751
20046,20051,2.278
20055,20060,17.425
20065,20060,18.558
20381,20380,2.658
20293,20320,2.413
20353,20320,4.148
20293,20294,2.783
20351,20352,16.846
20352,20364,2.002
20381,20365,2.469
20353,20365,1.435
20364,20365,19.714
20287,20068,14.011
20817,19801,88.148
20287,20288,16.332
20293,20292,2.542
20780,20781,2.278
20827,20838,1.816
20838,20849,1.126
20857,20861,1.169
20858,20861,0.934
20857,20851,1.197
20845,20851,1.233
20830,20836,1.673
20845,20836,1.285
20817,20822,1.398
20830,20822,1.621
20798,20789,1.591
20781,20789,1.709
20821,20816,1.861
20805,20816,1.501
20858,20855,1.068
20849,20855,1.04
21347,21252,10.401
21252,21174,5.554
21153,21158,3.228
21174,21158,3.583
21153,21162,7.004
21180,21175,5.144
21162,21175,6.444
19518,19606,6.808
19607,19606,6.727
20288,20291,23.349
20292,20291,23.271
20291,20212,5.871
20212,20139,3.992
20142,20139,4.562
20137,20139,4.591
20060,20098,2.524
20294,20321,2.391
20351,20321,3.258
20139,20113,1.023
20098,20113,1.401
19781,19776,1.977
19768,19770,1.857
19776,19770,1.806
20306,20301,35.292
20301,20390,10.277
20814,20779,3.585
20713,20751,4.146
20779,20751,3.609
20740,20863,15.182
20751,20744,14.276
20740,20744,10.913
20294,20303,22.631
20301,20303,7.75
20740,20738,9.909
20303,20738,48.211
20085,20079,11.996
20301,20079,14.467
20221,20284,5.744
20284,20348,8.83
20348,20371,5.289
20658,20669,7.622
20669,20670,8.872
20608,20633,10.15
20658,20633,8.574
20509,20568,13.631
20608,20568,8.2
20568,20540,9.332
20503,20481,5.552
20481,20427,6.947
20540,20517,4.1
20503,20517,4.02
21065,21121,3.022
21160,21121,2.98
21307,21243,2.77
21160,21243,3.072
21296,21308,34.462
21307,21308,4.213
20330,20242,7.262
20334,20332,17.629
20330,20332,11.394
20330,20397,10.006
20412,20397,2.284
20397,20396,2.155
20371,20393,3.892
20427,20393,5.521
20396,20393,33.42
19768,19767,3.47
19767,20004,13.802
20004,20007,8.717
20007,20034,1.857
20061,20034,1.857
20068,20062,15.057
20061,20062,6.098
20311,20315,3.555
20315,20584,32.114
20584,20585,5.228
20585,20677,8.43
20677,20678,1.401
20050,19975,5.071
19807,19975,9.452
19979,19975,3.229
19753,19465,20.252
19192,19465,20.419
19009,19459,33.826
19712,19459,17.602
19465,19462,9.394
19459,19462,7.48
19462,19714,17.57
19712,19713,3.788
19714,19713,3.904
19807,19805,9.076
19801,19805,3.683
19753,19748,12.759
19747,19748,3.141
19713,19748,2.591
19805,19748,3.425
20062,20207,8.463
20311,20207,8.141
20207,20208,2.996
20050,20054,26.829
20061,20054,25.737
20054,20123,4.737
17548,17526,22.361
17506,17526,15.011
17387,17351,1.633
17178,17351,9.717
17351,17423,39.249
17461,17460,3.46
17433,17460,26.246
17445,17462,57.346
17461,17462,2.667
17423,17429,3.058
17433,17429,3.855
18470,18405,6.226
19347,18400,55.176
18365,18400,1.223
18405,18400,6.304
15472,15601,11.454
15601,15758,10.161
15947,15865,6.444
15758,15865,6.299
16156,16064,6.756
15947,16064,7.16
16156,16166,2.43
15726,16092,33.13
16163,16092,9.157
15701,15904,10.375
15904,15905,3.326
16166,16165,11.181
15905,16165,17.102
16165,16167,9.877
16167,16214,3.747
16214,16213,18.622
16219,16215,5.954
16156,16215,4.626
16271,16215,4.159
16213,16215,4.726
16163,16164,13.066
16167,16164,32.026
15905,15906,2.793
15907,15906,2.358
14525,14770,13.396
14839,14770,3.504
15040,14980,3.604
15040,15100,4.453
15154,15100,4.518
14525,14549,2.47
14589,14549,2.403
14589,14645,3.443
14710,14645,4.002
14710,14757,2.775
14827,14757,3.583
14827,14875,2.644
14908,14875,1.943
15235,15119,9.274
14642,14678,5.671
14690,14678,3.418
14690,14709,5.933
14726,14709,5.479
14754,14743,5.486
14736,14743,5.562
14754,14768,4.157
14784,14768,3.614
14509,14547,5.186
14597,14547,6.458
16164,16079,6.183
16214,16248,2.402
16240,16216,9.101
16214,16216,7.693
16240,16315,6.284
16686,16315,33.758
16248,16337,7.439
16707,17104,30.368
17716,17104,43.578
17605,17103,31.202
16271,17103,69.331
16500,16879,33.697
17740,17525,21.038
16879,17525,39.064
16500,16454,4.617
16399,16454,5.069
18675,18605,4.452
18541,18605,5.573
18675,18733,3.767
18780,18733,4.594
18862,18915,5.145
18961,18915,5.708
18675,18518,9.65
19031,19025,5.937
19025,19026,4.928
19053,19034,8.57
19026,19034,6.012
18765,18677,4.032
18628,18677,2.046
18519,18543,1.939
18570,18543,1.378
18628,18587,1.725
18570,18587,1.58
18685,18647,7.368
18628,18647,4.375
18524,18578,7.007
18606,18578,4.929
18524,18474,5.305
18424,18453,4.99
18474,18453,3.244
18424,18368,5.459
18245,18272,4.688
18368,18272,6.93
18994,18991,4.496
19053,18914,9.19
17650,17665,1.957
17687,17677,1.817
17665,17677,1.738
17710,17698,1.597
17687,17694,1.057
17698,17694,0.979
17736,17790,3.789
17832,17790,3.931
17832,17865,2.88
17879,17865,2.042
17879,17922,3.686
17983,17949,3.473
17922,17949,3.156
18033,18009,2.039
17983,18009,3.255
18055,18085,2.342
18085,18111,1.662
18146,18130,1.484
18111,18130,1.334
18168,18193,2.391
18193,18233,4.286
18233,18262,4.231
18262,18320,5.31
18320,18403,4.542
18403,18449,5.523
18780,18830,3.906
18862,18830,3.919
18433,18481,4.785
18518,18481,1.941
18449,18481,3.287
18522,18481,2.708
18522,18573,4.398
18622,18668,3.947
18668,18711,4.117
18711,18740,3.619
18740,18756,2.79
18756,18771,2.581
18805,18832,1.46
18832,18856,1.653
18856,18871,1.403
18871,18882,1.358
18882,18884,1.291
18884,18877,1.198
18877,18867,1.516
18867,18860,1.186
18860,18859,1.711
18859,18863,1.394
18863,18869,1.566
18869,18880,2.139
18880,18889,3.102
18889,18901,2.697
18901,18898,2.188
18898,18892,1.358
18892,18881,1.157
18881,18858,1.635
18842,18845,1.334
18858,18845,1.33
18819,18834,3.39
18840,18834,3.548
18809,18798,2.484
18785,18787,2.426
18798,18787,3.409
18820,18806,2.201
18792,18806,2.045
18820,18843,3.779
18878,18843,5.55
18785,18786,1.575
18792,18786,1.535
18573,18591,3.066
18622,18591,2.889
18878,18888,2.265
18905,18919,2.727
18864,18896,1.589
18914,18896,0.741
18888,18896,1.269
18905,18896,1.523
18765,18816,2.365
18864,18816,2.705
18991,18987,3.559
18987,18975,3.968
18975,18959,4.276
18959,18946,3.657
18919,18931,3.612
18946,18931,3.595
18993,18989,5.386
18989,18981,4.267
18944,18965,4.74
18981,18965,4.973
18923,18907,5.017
18850,18874,5.774
18907,18874,5.781
18883,18910,1.504
18929,18910,1.364
19009,18964,2.489
18929,18964,1.434
18706,18726,2.965
18750,18726,2.374
18593,18567,8.197
18513,18535,5.162
18567,18535,5.313
18686,18671,1.596
18761,18728,2.231
18686,18707,1.564
18728,18707,1.372
18619,18644,1.562
18671,18644,1.686
18576,18594,1.759
18619,18594,1.781
18513,18550,1.976
18576,18550,1.642
18761,18802,2.174
18802,18851,2.906
18917,18933,1.896
18917,18895,1.469
18851,18873,1.534
18895,18873,1.314
18933,18953,1.681
18974,18953,1.544
19110,19097,1.257
19015,19029,1.541
19029,19048,2.227
19048,19062,1.587
19015,19004,1.941
18974,19004,2.369
19097,19079,1.107
19062,19079,1.099
19153,19159,8.66
19160,19159,3.094
19155,19164,1.55
19185,19168,1.492
19164,19168,1.717
19185,19201,1.424
19224,19201,1.788
19224,19249,1.683
19297,19275,2.302
19249,19275,1.397
19153,19732,41.276
21019,19732,112.819
21018,20953,4.482
21492,21058,20.001
21018,21058,3.87
19160,19235,4.337
20953,19235,144.966
19314,19238,8.522
19238,19206,3.676
19167,19163,1.967
19206,19181,2.065
19167,19181,1.941
19181,19171,1.264
19171,19161,2.244
19161,19150,2.356
19150,19146,2.022
19146,19147,1.841
19147,19157,1.707
19157,19172,3.714
19217,19234,5.909
19253,19267,4.492
19267,19277,5.437
19354,19281,5.772
18991,19281,20.465
19277,19281,5.548
19234,19247,3.319
19253,19247,3.567
19172,19196,4.419
19217,19196,4.926
18989,19013,1.779
19753,19764,26.158
19767,19764,14.123
19764,19692,7.376
19692,19649,3.572
19649,19608,3.51
19608,19598,1.163
19598,19576,1.907
19262,19288,2.125
19347,19777,31.506
18470,19780,82.231
19842,19780,3.847
19777,19780,10.877
19827,19947,6.106
19947,19986,3.754
20065,20075,28.466
20079,20075,11.996
19986,20075,7.841
20065,19918,9.919
19919,19918,10.079
19606,19759,11.231
19918,19759,8.462
19759,19761,1.16
20032,19937,17.894
19818,19937,5.931
19818,19820,8.021
19784,19824,3.64
19820,19824,8.524
19555,19554,1.614
19554,19659,8.453
19659,19683,1.351
19683,19697,1.298
19697,19711,1.454
19711,19722,1.707
19722,19734,2.172
19734,19751,1.446
19751,19765,1.212
19781,19815,4.951
19937,19815,15.744
19765,19787,1.653
19815,19787,1.671
18771,18776,1.038
18805,18784,0.786
18776,18784,0.826
18400,18404,1.572
18404,18419,1.715
18419,18461,3.945
18461,18536,4.836
18536,18572,2.518
